FECHA_BALANCE,CODIGO_CUENTA,Título_Nombre,Subtítulo_Nombre,Ítem_Nombre,Asignación_Nombre,Denominación_Cuenta_Base,PRESUPUESTO_INICIAL,PRESUPUESTO_VIGENTE,SALDO_PRESUPUES.,DEVENGADO_PARCIAL,DEVENGADO_ACUMULADO,PERCIBIDO_PARCIAL,PERCIBIDO_ACUMULADO,%_ACUMULADO,POR_PERCIBIR_A_LA_FECHA
31/01/2025,115-03-01-001-001-001,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES FUERA DE ROL,500000000,500000000,374825218,125174782,125174782,125174782,125174782,25.0,0
31/01/2025,115-03-01-001-001-002,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES ENROLADAS,4265000000,4265000000,2475932999,1789067001,1789067001,1392036568,1392036568,33.0,397030433
31/01/2025,115-03-01-001-001-003,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES PRIMER SEMESTRE,0,0,0,0,0,0,0,,0
31/01/2025,115-03-01-001-001-004,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,REMATE PATENTES ALCOHOLICAS                       ,0,0,0,0,0,0,0,,0
31/01/2025,115-03-01-001-001-005,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MINERAS                                  ,0,0,0,0,0,0,0,,0
31/01/2025,115-03-01-001-001-006,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. ENROLADOS                      ,30000000,30000000,14640347,15359653,15359653,3203628,3203628,11.0,12156025
31/01/2025,115-03-01-001-001-007,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. NO ENROLADOS                             ,5000000,5000000,4996874,3126,3126,3126,3126,,0
31/01/2025,115-03-01-001-001-008,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,CONVENIOS PATENTES MUNICIPALES          ,0,0,0,0,0,0,0,,0
31/01/2025,115-03-01-001-001-009,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTE PROVISORIA,0,0,-364709,364709,364709,364709,364709,,0
31/01/2025,115-03-01-001-002-000,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,DE BENEFICIO FONDO COMUN,0,0,0,0,0,0,0,,0
